[18/Nov/2019 12:28:38] INFO [django.utils.autoreload:597] Watching for file changes with StatReloader
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:288] Waiting for apps ready_event.
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:299] Apps ready_event triggered. Sending autoreload_started signal.
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:247] Watching dir /Users/mickeykim/Developer/MScProject/webapp-pdsensors/pdsensorvis/locale with glob **/*.mo.
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:247] Watching dir /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/django/contrib/admin/locale with glob **/*.mo.
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:247] Watching dir /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/django/contrib/auth/locale with glob **/*.mo.
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:247] Watching dir /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/django/contrib/contenttypes/locale with glob **/*.mo.
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:247] Watching dir /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/django/contrib/sessions/locale with glob **/*.mo.
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:247] Watching dir /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/django/contrib/messages/locale with glob **/*.mo.
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:247] Watching dir /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/django/contrib/staticfiles/locale with glob **/*.mo.
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:247] Watching dir /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/admin_reorder/locale with glob **/*.mo.
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:247] Watching dir /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/rest_framework/locale with glob **/*.mo.
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:247] Watching dir /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/chartjs/locale with glob **/*.mo.
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:247] Watching dir /Users/mickeykim/Developer/MScProject/webapp-pdsensors/pdsensorvis/sensors/locale with glob **/*.mo.
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/ipaddress.py first seen with mtime 1530070004.0
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/sqlparse/filters/reindent.py first seen with mtime 1560183660.0
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/sqlparse/engine/grouping.py first seen with mtime 1560183660.0
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/django/utils/dateparse.py first seen with mtime 1571919654.441942
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/email/message.py first seen with mtime 1530070007.0
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/django/contrib/contenttypes/apps.py first seen with mtime 1571919653.827671
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/django/contrib/auth/signals.py first seen with mtime 1571919653.763105
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/django/db/models/sql/query.py first seen with mtime 1571919654.404196
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/jinja2/filters.py first seen with mtime 1553342287.0
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/django/core/management/commands/runserver.py first seen with mtime 1571919654.363994
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/asyncio/runners.py first seen with mtime 1530070006.0
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/email/headerregistry.py first seen with mtime 1530070007.0
